Employee_Number,Stag,Turnover,Gender,Age,Industry,Profession,Traffic,Traffic_Source,Coach,Head_gender,Greywage,Way,Extraversion,Independ,Selfcontrol,Anxiety,Novator
35,88,Yes,Female,29,Consult,HR,rabrecNErab,Employer_ByRecomendation,no,Female,white,bus,7,6,4,4,9
36,43,Yes,Female,22,Pharma,HR,rabrecNErab,Employer_ByRecomendation,no,Male,white,bus,3,4,9,7,6
37,23,Yes,Female,34,Retail,HR,KA,RecAgency,no,Male,white,car,5,6,5,5,4
38,23,Yes,Female,34,Retail,HR,KA,RecAgency,no,Male,white,car,6,6,5,3,3
39,23,Yes,Female,34,Retail,HR,KA,RecAgency,no,Male,white,car,5,6,5,5,4
40,23,Yes,Female,34,Retail,HR,KA,RecAgency,no,Male,white,car,6,6,5,3,3
41,13,Yes,Female,21,Other,HR,empjs,Employer_JobSite,no,Female,white,bus,5,8,5,3,2
42,8,Yes,Female,22,Other,HR,youjs,Person_JobSite,yes,Female,grey,car,7,5,6,4,4
43,36,Yes,Female,32,Retail,HR,youjs,Person_JobSite,no,Male,white,car,3,8,7,5,3
44,19,Yes,Female,36,Pharma,Other,empjs,Employer_JobSite,no,Female,white,car,5,8,6,6,8
45,4,Yes,Female,30,Banks,HR,youjs,Person_JobSite,no,Male,white,bus,6,3,8,3,4
46,81,Yes,Female,32,Retail,HR,rabrecNErab,Employer_ByRecomendation,my head,Male,white,bus,4,6,8,4,6
47,9,Yes,Female,33,Retail,HR,empjs,Employer_JobSite,no,Male,white,car,7,5,4,7,8
48,37,Yes,Female,49,State,BusinessDevelopment,empjs,Employer_JobSite,my head,Female,white,bus,5,6,5,6,7
49,4,Yes,Female,29,Retail,HR,empjs,Employer_JobSite,yes,Male,white,bus,8,6,6,4,5
50,4,Yes,Female,29,Retail,HR,empjs,Employer_JobSite,yes,Male,white,bus,6,6,6,6,3
51,4,Yes,Female,29,Retail,HR,empjs,Employer_JobSite,yes,Male,white,bus,7,6,6,4,4
52,8,Yes,Male,36,Mining,HR,empjs,Employer_JobSite,no,Male,white,foot,5,5,7,6,8
53,95,Yes,Female,22,State,Teaching,advert,Person_Advert,my head,Male,white,bus,9,5,5,4,7
54,42,Yes,Female,21,Transport,HR,empjs,Employer_JobSite,yes,Female,white,foot,8,6,3,7,9
55,15,Yes,Female,25,Retail,HR,empjs,Employer_JobSite,no,Female,white,bus,9,6,3,6,6
56,51,Yes,Male,38,Manufacture,HR,rabrecNErab,Employer_ByRecomendation,no,Male,white,car,6,3,7,6,4
57,51,Yes,Male,38,Manufacture,HR,rabrecNErab,Employer_ByRecomendation,no,Male,white,car,7,6,6,6,6
58,35,Yes,Female,23,Consult,HR,empjs,Employer_JobSite,yes,Female,white,bus,10,5,4,6,8
59,35,Yes,Female,23,Consult,HR,empjs,Employer_JobSite,yes,Female,white,bus,9,5,4,6,9
60,36,Yes,Male,38,Banks,BusinessDevelopment,recNErab,Person_ByRecomendation,no,Male,white,car,9,3,6,4,6
61,16,Yes,Female,24,Retail,HR,youjs,Person_JobSite,no,Female,white,foot,6,8,3,3,7
62,16,Yes,Female,24,Retail,HR,youjs,Person_JobSite,no,Female,white,foot,6,8,3,3,7
63,53,Yes,Female,36,Manufacture,HR,rabrecNErab,Employer_ByRecomendation,my head,Male,white,car,5,4,8,6,6
64,8,Yes,Female,21,State,Sales,advert,Person_Advert,my head,Male,grey,bus,5,6,7,3,5
65,82,Yes,Female,29,Telecom,HR,rabrecNErab,Employer_ByRecomendation,my head,Female,white,foot,4,7,6,6,8
66,56,Yes,Female,29,Banks,HR,empjs,Employer_JobSite,my head,Female,white,bus,7,6,4,4,4
67,4,Yes,Female,26,Manufacture,HR,referal,Person_RecReferral,no,Female,white,car,4,5,6,8,3
68,19,Yes,Male,36,Other,manage,rabrecNErab,Employer_ByRecomendation,my head,Male,white,car,6,4,6,6,5
69,19,Yes,Male,36,Other,manage,rabrecNErab,Employer_ByRecomendation,my head,Male,white,car,9,3,7,5,4
70,54,Yes,Female,30,State,Teaching,recNErab,Person_ByRecomendation,no,Male,white,foot,5,9,4,4,6
71,91,Yes,Female,22,State,HR,referal,Person_RecReferral,my head,Female,white,bus,6,6,3,6,7
72,41,Yes,Male,29,Banks,Marketing,rabrecNErab,Employer_ByRecomendation,no,Female,white,bus,6,5,6,6,5
73,59,Yes,Female,23,State,Teaching,advert,Person_Advert,no,Female,white,bus,7,6,3,6,5
74,7,Yes,Male,22,Manufacture,manage,advert,Person_Advert,no,Female,white,foot,8,6,1,9,9
75,45,Yes,Female,36,Other,HR,rabrecNErab,Employer_ByRecomendation,no,Male,white,bus,8,5,5,6,9
76,7,Yes,Male,27,State,Teaching,rabrecNErab,Employer_ByRecomendation,no,Female,white,bus,6,6,6,4,4
77,16,No,Female,34,Retail,HR,empjs,Employer_JobSite,no,Female,white,car,9,6,4,6,7
78,16,No,Female,34,Retail,HR,empjs,Employer_JobSite,no,Female,white,car,9,3,4,7,6
79,16,No,Female,34,Retail,HR,empjs,Employer_JobSite,no,Female,white,car,8,4,4,7,7
80,59,Yes,Female,25,Banks,HR,recNErab,Person_ByRecomendation,no,Female,white,bus,5,5,7,6,5
81,59,Yes,Female,25,Banks,HR,recNErab,Person_ByRecomendation,no,Female,white,bus,5,4,9,6,2
82,17,Yes,Female,24,Consult,HR,rabrecNErab,Employer_ByRecomendation,no,Female,white,bus,5,7,5,4,7
83,39,Yes,Female,27,Retail,Other,referal,Person_RecReferral,yes,Male,white,bus,5,7,3,6,8
84,8,Yes,Female,34,Banks,BusinessDevelopment,KA,RecAgency,my head,Male,white,car,7,6,7,3,5
85,8,Yes,Female,34,Banks,BusinessDevelopment,KA,RecAgency,my head,Male,white,car,9,7,6,3,4
86,97,Yes,Female,24,IT,HR,KA,RecAgency,no,Female,white,bus,6,5,7,4,7
87,87,Yes,Female,23,State,Teaching,referal,Person_RecReferral,yes,Female,white,bus,4,7,8,2,2
88,53,Yes,Female,38,Telecom,HR,youjs,Person_JobSite,no,Male,white,car,5,6,7,6,8
89,18,Yes,Female,25,Banks,HR,empjs,Employer_JobSite,no,Male,white,bus,6,6,6,6,8
90,18,Yes,Female,25,Banks,HR,empjs,Employer_JobSite,no,Male,white,bus,6,8,4,5,9
91,25,Yes,Female,28,Manufacture,HR,youjs,Person_JobSite,my head,Male,white,bus,6,5,4,4,7
92,87,Yes,Female,29,Manufacture,HR,rabrecNErab,Employer_ByRecomendation,my head,Female,white,car,7,6,2,6,6
93,13,Yes,Male,26,Other,Commercial,rabrecNErab,Employer_ByRecomendation,no,Male,white,car,6,4,5,6,3
94,26,Yes,Male,21,Other,Marketing,referal,Person_RecReferral,no,Male,white,bus,5,7,4,6,6
95,10,Yes,Female,25,Consult,HR,youjs,Person_JobSite,my head,Female,white,bus,5,7,6,3,3
96,10,Yes,Female,25,Consult,HR,youjs,Person_JobSite,my head,Female,white,bus,5,7,6,3,3
97,3,Yes,Female,24,Consult,HR,youjs,Person_JobSite,no,Female,white,bus,5,7,6,6,3
98,15,Yes,Female,31,State,HR,rabrecNErab,Employer_ByRecomendation,no,Male,grey,bus,2,1,8,9,4
99,80,Yes,Female,45,Retail,HR,empjs,Employer_JobSite,no,Female,white,bus,3,6,10,6,3
100,17,Yes,Female,21,Other,Other,rabrecNErab,Employer_ByRecomendation,my head,Female,white,bus,7,7,6,4,5
101,19,Yes,Female,22,Other,HR,youjs,Person_JobSite,my head,Female,white,bus,5,6,4,9,8
102,9,Yes,Female,37,Mining,Commercial,KA,RecAgency,yes,Male,white,bus,4,8,5,7,9
103,18,Yes,Female,32,Other,HR,empjs,Employer_JobSite,my head,Male,white,bus,8,6,3,4,8
104,53,Yes,Female,37,Manufacture,HR,rabrecNErab,Employer_ByRecomendation,my head,Male,white,bus,7,5,6,6,8
105,43,Yes,Female,30,Retail,HR,KA,RecAgency,no,Female,white,bus,6,6,6,6,8
106,24,Yes,Female,37,Transport,HR,youjs,Person_JobSite,no,Male,white,bus,6,6,6,6,9
107,41,Yes,Female,22,Pharma,HR,rabrecNErab,Employer_ByRecomendation,no,Male,white,bus,4,2,9,6,4
108,41,Yes,Female,22,Pharma,HR,rabrecNErab,Employer_ByRecomendation,no,Male,white,bus,5,3,8,7,5
109,123,Yes,Female,22,Banks,IT,referal,Person_RecReferral,my head,Male,white,bus,5,5,6,7,6
110,123,Yes,Female,22,Banks,IT,referal,Person_RecReferral,my head,Male,white,bus,5,6,6,4,7
111,13,Yes,Male,28,Telecom,IT,rabrecNErab,Employer_ByRecomendation,no,Male,white,car,9,6,1,6,7
112,13,Yes,Male,28,Telecom,IT,rabrecNErab,Employer_ByRecomendation,no,Male,white,car,7,6,3,6,8
113,15,Yes,Male,25,Manufacture,HR,empjs,Employer_JobSite,my head,Female,white,car,6,6,6,6,4
114,24,Yes,Female,23,Building,Marketing,rabrecNErab,Employer_ByRecomendation,my head,Female,white,bus,4,8,7,3,4
115,12,Yes,Male,25,Building,HR,youjs,Person_JobSite,yes,Female,white,bus,7,5,5,6,6
116,11,Yes,Female,26,Banks,HR,youjs,Person_JobSite,no,Female,white,bus,5,6,6,4,6
117,11,Yes,Female,26,Banks,HR,youjs,Person_JobSite,no,Female,white,bus,5,6,6,6,5
118,27,Yes,Male,30,Retail,Sales,youjs,Person_JobSite,no,Male,white,car,7,5,2,9,7
119,16,Yes,Male,38,IT,IT,referal,Person_RecReferral,no,Male,white,car,6,4,2,9,8
120,5,Yes,Female,37,State,Marketing,recNErab,Person_ByRecomendation,no,Female,white,foot,9,4,5,4,8
121,20,Yes,Female,26,Agriculture,Law,rabrecNErab,Employer_ByRecomendation,no,Male,grey,bus,5,5,9,6,3
122,103,Yes,Female,27,Banks,HR,youjs,Person_JobSite,no,Female,white,car,4,5,10,6,4
123,4,Yes,Female,29,Retail,Other,empjs,Employer_JobSite,no,Male,white,bus,8,6,6,4,5
124,4,Yes,Female,29,Retail,Other,empjs,Employer_JobSite,no,Male,white,bus,6,6,6,6,3
125,4,Yes,Female,29,Retail,Other,empjs,Employer_JobSite,no,Male,white,bus,7,6,6,4,4
126,71,Yes,Female,26,Manufacture,HR,rabrecNErab,Employer_ByRecomendation,no,Male,white,bus,4,6,9,3,4
127,71,Yes,Female,26,Manufacture,HR,rabrecNErab,Employer_ByRecomendation,no,Male,white,bus,3,7,6,3,3
128,52,Yes,Female,49,Manufacture,HR,empjs,Employer_JobSite,my head,Male,white,bus,6,8,3,3,6
129,39,Yes,Male,21,Banks,HR,recNErab,Person_ByRecomendation,yes,Female,white,foot,8,6,3,6,9
130,39,Yes,Male,21,Banks,HR,recNErab,Person_ByRecomendation,yes,Female,white,foot,7,3,3,7,8
131,35,Yes,Male,26,Mining,HR,empjs,Employer_JobSite,yes,Female,white,car,5,3,9,8,8
132,49,Yes,Female,22,Other,Marketing,rabrecNErab,Employer_ByRecomendation,no,Female,grey,car,5,7,6,4,4
133,26,Yes,Male,51,Retail,Other,referal,Person_RecReferral,no,Male,white,car,3,6,10,6,5
134,51,Yes,Female,28,Manufacture,Finanсe,rabrecNErab,Employer_ByRecomendation,no,Male,white,car,8,3,6,4,4
135,22,Yes,Male,52,Consult,Consult,rabrecNErab,Employer_ByRecomendation,no,Male,white,foot,3,9,5,6,7
136,11,Yes,Female,43,Pharma,HR,youjs,Person_JobSite,my head,Female,white,car,5,6,3,8,8
137,51,Yes,Female,44,Manufacture,HR,rabrecNErab,Employer_ByRecomendation,no,Male,grey,car,7,7,5,3,6
138,17,Yes,Female,45,Manufacture,Engineer,rabrecNErab,Employer_ByRecomendation,my head,Female,white,bus,4,4,7,6,4
139,24,Yes,Female,27,Building,HR,rabrecNErab,Employer_ByRecomendation,no,Female,white,bus,4,10,4,4,9
140,24,Yes,Female,26,Retail,HR,youjs,Person_JobSite,my head,Female,white,bus,7,6,4,5,8
141,20,Yes,Female,25,Manufacture,HR,advert,Person_Advert,yes,Female,white,car,9,3,2,9,8
142,151,Yes,Female,19,Banks,HR,advert,Person_Advert,yes,Male,white,foot,7,3,6,8,7
143,11,Yes,Female,31,Other,HR,rabrecNErab,Employer_ByRecomendation,no,Male,white,bus,9,3,1,9,10
144,79,Yes,Female,31,Banks,HR,rabrecNErab,Employer_ByRecomendation,no,Female,grey,bus,4,4,7,9,2
145,79,Yes,Female,31,Banks,HR,rabrecNErab,Employer_ByRecomendation,no,Female,grey,bus,4,4,7,9,2
146,81,Yes,Female,31,RealEstate,HR,referal,Person_RecReferral,my head,Female,white,bus,6,5,9,6,5
147,13,Yes,Female,30,Other,HR,youjs,Person_JobSite,no,Female,white,bus,6,4,6,6,1
148,13,Yes,Female,30,Other,HR,youjs,Person_JobSite,no,Female,white,bus,7,7,4,6,4
149,142,Yes,Female,18,Retail,HR,advert,Person_Advert,no,Female,white,bus,6,6,6,5,5
150,11,Yes,Male,33,IT,Consult,youjs,Person_JobSite,yes,Male,white,car,3,10,6,6,8
151,12,Yes,Female,36,Retail,Sales,youjs,Person_JobSite,no,Male,white,bus,5,5,5,5,6
152,54,Yes,Female,31,Other,HR,empjs,Employer_JobSite,my head,Male,white,car,3,6,7,6,6
153,6,Yes,Female,45,IT,HR,rabrecNErab,Employer_ByRecomendation,no,Male,white,car,8,5,4,4,6
154,20,Yes,Female,29,Retail,HR,empjs,Employer_JobSite,my head,Female,white,car,9,7,5,3,6
155,80,Yes,Male,23,Banks,HR,rabrecNErab,Employer_ByRecomendation,no,Female,white,bus,5,6,6,9,5
156,9,Yes,Female,27,Retail,HR,rabrecNErab,Employer_ByRecomendation,my head,Female,white,car,6,5,6,6,3
157,19,Yes,Female,22,Retail,Sales,youjs,Person_JobSite,yes,Male,grey,bus,9,4,5,5,5
158,8,Yes,Male,47,Manufacture,Commercial,empjs,Employer_JobSite,no,Male,grey,bus,4,2,9,9,2
159,8,Yes,Male,47,Manufacture,Commercial,empjs,Employer_JobSite,no,Male,grey,bus,5,4,6,9,4
160,8,Yes,Male,47,Manufacture,Commercial,empjs,Employer_JobSite,no,Male,grey,bus,3,6,5,9,4
161,11,Yes,Female,30,Consult,HR,youjs,Person_JobSite,no,Male,white,bus,8,6,5,7,6
162,51,Yes,Female,28,Transport,HR,rabrecNErab,Employer_ByRecomendation,my head,Female,white,car,5,7,5,4,6
163,128,No,Female,43,Manufacture,HR,rabrecNErab,Employer_ByRecomendation,my head,Male,white,bus,5,8,5,6,6
164,28,Yes,Male,26,Consult,Consult,referal,Person_RecReferral,no,Female,white,bus,9,6,4,7,7
165,5,Yes,Female,31,Retail,Sales,KA,RecAgency,no,Female,grey,bus,5,6,7,5,1
166,18,Yes,Male,24,Retail,HR,empjs,Employer_JobSite,my head,Female,grey,bus,5,8,6,5,7
167,23,Yes,Female,27,Building,HR,rabrecNErab,Employer_ByRecomendation,no,Female,white,bus,4,10,4,4,9
168,16,Yes,Male,35,Retail,HR,rabrecNErab,Employer_ByRecomendation,no,Male,white,car,6,6,6,4,3
169,16,Yes,Male,35,Retail,HR,rabrecNErab,Employer_ByRecomendation,no,Male,white,car,7,5,3,6,6
170,71,Yes,Female,31,PowerGeneration,HR,youjs,Person_JobSite,my head,Female,white,car,5,4,6,5,4
171,10,Yes,Male,23,IT,HR,empjs,Employer_JobSite,no,Female,white,bus,7,4,6,5,5
172,17,Yes,Female,40,Banks,Sales,advert,Person_Advert,my head,Female,white,car,5,4,5,6,8
173,131,Yes,Female,31,IT,HR,KA,RecAgency,no,Male,white,bus,5,7,3,4,8
174,37,Yes,Female,37,Other,HR,youjs,Person_JobSite,yes,Female,white,bus,6,6,6,6,5
175,0,Yes,Female,24,IT,HR,youjs,Person_JobSite,yes,Female,white,bus,9,4,5,3,6
176,13,Yes,Female,23,Building,HR,empjs,Employer_JobSite,no,Female,grey,bus,5,8,4,5,6
177,13,Yes,Female,23,Building,HR,empjs,Employer_JobSite,no,Female,grey,bus,8,6,4,5,5
178,8,Yes,Female,46,RealEstate,HR,rabrecNErab,Employer_ByRecomendation,no,Male,white,car,5,8,6,4,6
179,7,Yes,Female,23,Consult,Marketing,youjs,Person_JobSite,yes,Female,white,bus,6,5,6,3,4
180,18,Yes,Female,40,IT,HR,empjs,Employer_JobSite,yes,Male,white,bus,3,8,7,5,8
181,15,Yes,Male,39,Manufacture,Engineer,recNErab,Person_ByRecomendation,no,Male,white,car,4,5,6,8,4
182,16,Yes,Female,28,Retail,HR,youjs,Person_JobSite,no,Female,white,car,3,6,6,6,4
183,32,Yes,Male,40,Other,HR,empjs,Employer_JobSite,yes,Male,white,car,5,3,6,8,10
184,73,Yes,Male,33,Retail,Finanсe,rabrecNErab,Employer_ByRecomendation,no,Female,white,bus,2,6,6,6,5
185,73,Yes,Male,33,Retail,Finanсe,rabrecNErab,Employer_ByRecomendation,no,Female,white,bus,4,4,8,6,4
186,12,Yes,Female,24,Banks,HR,referal,Person_RecReferral,no,Female,white,foot,8,6,5,2,4
187,46,Yes,Female,38,Retail,HR,rabrecNErab,Employer_ByRecomendation,no,Male,white,bus,6,4,5,6,7
188,53,Yes,Male,35,Manufacture,BusinessDevelopment,rabrecNErab,Employer_ByRecomendation,no,Male,white,car,5,5,4,8,8
189,15,Yes,Female,33,Manufacture,HR,referal,Person_RecReferral,my head,Male,white,car,5,5,7,8,6
190,26,Yes,Female,36,Other,HR,empjs,Employer_JobSite,no,Male,white,foot,3,7,6,5,6
191,26,Yes,Female,36,Other,HR,empjs,Employer_JobSite,no,Male,white,foot,2,7,8,6,4
192,26,Yes,Female,36,Other,HR,empjs,Employer_JobSite,no,Male,white,foot,3,7,7,5,5
193,29,Yes,Female,22,Other,HR,youjs,Person_JobSite,yes,Female,white,bus,9,4,4,5,9
194,33,Yes,Female,38,Manufacture,HR,rabrecNErab,Employer_ByRecomendation,no,Male,white,bus,8,3,6,7,5
195,6,Yes,Female,23,Banks,HR,rabrecNErab,Employer_ByRecomendation,yes,Female,white,bus,5,7,7,6,4
196,6,Yes,Female,23,Banks,HR,rabrecNErab,Employer_ByRecomendation,yes,Female,white,bus,6,5,5,5,4
197,78,Yes,Female,24,Other,Sales,rabrecNErab,Employer_ByRecomendation,my head,Female,white,bus,6,6,6,3,2
198,166,Yes,Male,26,Retail,Sales,recNErab,Person_ByRecomendation,no,Male,white,car,3,6,6,7,7
199,107,Yes,Female,33,Other,Other,advert,Person_Advert,no,Male,white,bus,5,1,10,9,5
200,19,Yes,Female,40,Banks,HR,empjs,Employer_JobSite,yes,Female,grey,bus,6,3,8,3,4
201,9,Yes,Female,23,Manufacture,manage,KA,RecAgency,no,Female,white,car,4,4,9,4,3
202,14,Yes,Female,27,Retail,HR,youjs,Person_JobSite,no,Male,white,car,9,5,7,4,4
203,6,Yes,Female,24,PowerGeneration,Sales,empjs,Employer_JobSite,my head,Female,white,bus,5,6,4,6,10
204,23,Yes,Female,30,Banks,HR,rabrecNErab,Employer_ByRecomendation,no,Female,white,car,5,8,3,6,6
205,16,Yes,Female,37,Pharma,Other,empjs,Employer_JobSite,no,Female,white,car,5,8,6,6,8
206,26,Yes,Female,31,Manufacture,HR,rabrecNErab,Employer_ByRecomendation,no,Male,grey,bus,3,8,5,6,5
207,35,Yes,Female,31,Retail,HR,KA,RecAgency,no,Male,white,bus,4,10,3,3,7
208,26,Yes,Female,23,IT,HR,youjs,Person_JobSite,my head,Female,white,bus,1,3,10,9,2
209,4,Yes,Female,40,Banks,HR,empjs,Employer_JobSite,no,Female,white,bus,8,6,3,6,8
210,4,Yes,Female,40,Banks,HR,empjs,Employer_JobSite,no,Female,white,bus,9,6,3,6,8
211,4,Yes,Female,40,Banks,HR,empjs,Employer_JobSite,no,Female,white,bus,7,7,4,6,8
212,2,Yes,Female,37,Other,Marketing,youjs,Person_JobSite,no,Female,white,bus,5,3,9,4,3
213,25,Yes,Female,30,Retail,Sales,youjs,Person_JobSite,no,Female,white,bus,5,3,7,6,5
214,14,Yes,Female,38,State,Teaching,referal,Person_RecReferral,no,Female,white,foot,3,9,4,5,6
215,63,Yes,Male,32,Mining,Law,rabrecNErab,Employer_ByRecomendation,no,Female,white,bus,3,5,4,7,8
216,11,Yes,Female,34,Building,Marketing,referal,Person_RecReferral,no,Male,grey,car,9,3,5,3,6
217,12,Yes,Female,25,Manufacture,HR,youjs,Person_JobSite,my head,Female,grey,car,3,5,7,8,5
218,12,Yes,Female,25,Manufacture,HR,youjs,Person_JobSite,my head,Female,grey,car,3,6,6,7,5
219,30,No,Male,33,Retail,HR,empjs,Employer_JobSite,my head,Female,white,car,5,6,8,7,5
220,30,No,Male,33,Retail,HR,empjs,Employer_JobSite,my head,Female,white,car,5,8,6,7,6
221,38,No,Male,33,Retail,HR,rabrecNErab,Employer_ByRecomendation,my head,Male,white,car,3,4,8,7,4
222,22,Yes,Male,37,Manufacture,manage,rabrecNErab,Employer_ByRecomendation,no,Male,grey,bus,4,5,5,7,7
223,39,Yes,Female,31,Manufacture,HR,rabrecNErab,Employer_ByRecomendation,my head,Female,white,bus,6,5,4,5,5
224,139,No,Female,30,RealEstate,BusinessDevelopment,referal,Person_RecReferral,my head,Male,white,foot,5,7,3,6,8
225,24,Yes,Male,26,Manufacture,Engineer,referal,Person_RecReferral,my head,Male,white,bus,5,6,9,6,1
226,21,Yes,Male,33,Banks,Other,youjs,Person_JobSite,no,Male,white,car,6,4,3,9,10
227,94,No,Female,25,Retail,HR,youjs,Person_JobSite,no,Male,grey,car,6,3,6,6,8
228,2,No,Female,32,Other,Marketing,rabrecNErab,Employer_ByRecomendation,my head,Male,white,foot,5,6,3,8,8
229,97,No,Female,36,Retail,HR,KA,RecAgency,no,Male,white,car,6,6,6,4,5
230,34,No,Female,38,Building,HR,referal,Person_RecReferral,no,Male,white,car,1,5,6,6,7
231,47,Yes,Female,23,Retail,Marketing,advert,Person_Advert,my head,Female,white,car,3,6,9,5,6
232,80,Yes,Female,26,State,manage,referal,Person_RecReferral,no,Female,white,foot,5,6,8,5,5
233,12,Yes,Female,24,Banks,HR,rabrecNErab,Employer_ByRecomendation,no,Female,white,foot,8,6,5,2,4
234,80,Yes,Female,25,Retail,HR,empjs,Employer_JobSite,no,Male,white,bus,8,7,3,3,5
235,2,Yes,Female,33,Banks,HR,rabrecNErab,Employer_ByRecomendation,no,Female,white,car,5,6,7,3,5
236,17,No,Female,32,Pharma,Sales,rabrecNErab,Employer_ByRecomendation,no,Female,white,bus,5,8,9,3,3
237,6,No,Female,44,Banks,HR,KA,RecAgency,no,Female,white,car,5,5,9,5,6
238,2,Yes,Female,24,Consult,Consult,youjs,Person_JobSite,no,Female,grey,bus,6,5,8,4,3
239,24,Yes,Female,23,Manufacture,HR,youjs,Person_JobSite,my head,Female,white,bus,6,3,6,5,4
240,38,No,Female,25,Manufacture,HR,youjs,Person_JobSite,no,Female,white,bus,6,3,6,5,4
241,6,Yes,Female,34,Other,HR,empjs,Employer_JobSite,no,Male,white,car,9,6,1,6,10
242,12,Yes,Male,30,Retail,Sales,rabrecNErab,Employer_ByRecomendation,no,Male,grey,car,5,4,5,6,6
243,8,Yes,Female,29,State,Teaching,advert,Person_Advert,no,Female,white,foot,9,6,3,3,5
244,15,Yes,Female,30,Mining,HR,youjs,Person_JobSite,my head,Female,white,car,5,7,7,3,7
245,94,No,Female,29,IT,HR,rabrecNErab,Employer_ByRecomendation,no,Female,white,bus,5,8,7,3,4
246,28,No,Female,26, HoReCa,HR,youjs,Person_JobSite,my head,Female,white,car,3,7,7,5,5
247,49,Yes,Female,28,Retail,HR,rabrecNErab,Employer_ByRecomendation,my head,Male,white,bus,8,7,4,3,8
248,87,Yes,Female,33, HoReCa,HR,youjs,Person_JobSite,my head,Male,white,bus,4,8,8,4,4
249,87,Yes,Female,33, HoReCa,HR,youjs,Person_JobSite,my head,Male,white,bus,5,9,5,3,3
